date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2007-11-26,GC=F,bullish,4,expanded,2,1,1,-1,1,-0.014891,-0.011540
2007-11-27,GC=F,neutral,2,expanded,2,1,1,-1,-1,-0.016714,0.000000
2007-11-28,GC=F,neutral,1,expanded,2,1,0,-1,-1,-0.005999,-0.010821
2007-11-29,GC=F,neutral,-1,expanded,0,1,0,-1,-1,-0.016472,-0.016101
2007-11-30,GC=F,neutral,-1,expanded,0,1,0,-1,-1,0.007798,0.005613
2007-12-03,GC=F,neutral,0,expanded,0,1,0,-1,0,0.016491,0.009194
2007-12-04,GC=F,bullish,3,expanded,2,1,0,-1,1,-0.004742,-0.005859
2007-12-05,GC=F,neutral,2,expanded,2,1,0,-1,0,0.004640,0.008560
2007-12-06,GC=F,neutral,2,expanded,2,1,0,-1,0,-0.008487,-0.007868
2007-12-07,GC=F,neutral,0,expanded,0,1,0,-1,0,0.016742,0.010509
2007-12-10,GC=F,bullish,4,expanded,2,1,1,-1,1,0.004581,0.004084
2007-12-11,GC=F,bullish,4,expanded,2,1,1,-1,1,0.002588,0.004693
2007-12-12,GC=F,bullish,4,expanded,2,1,1,-1,1,-0.017824,-0.013945
2007-12-13,GC=F,neutral,-1,expanded,0,1,0,-1,-1,-0.007134,-0.008747
2007-12-14,GC=F,neutral,0,expanded,0,1,0,-1,0,0.001891,0.001638
2007-12-17,GC=F,neutral,0,expanded,0,1,0,-1,0,0.010317,0.012610
2007-12-18,GC=F,bullish,3,expanded,2,1,0,-1,1,-0.002366,0.002377
2007-12-19,GC=F,neutral,2,normal,2,1,0,-1,0,-0.002372,-0.000375
2007-12-20,GC=F,neutral,0,normal,0,1,0,-1,0,0.015515,0.014500
2007-12-21,GC=F,bullish,4,normal,2,1,1,-1,1,0.001479,0.001602
2007-12-24,GC=F,bullish,6,normal,2,1,1,1,1,0.016240,0.012627
2007-12-26,GC=F,bullish,6,normal,2,1,1,1,1,0.003148,0.004607
2007-12-27,GC=F,bullish,6,normal,2,1,1,1,1,0.013275,0.015727
2007-12-28,GC=F,bullish,6,normal,2,1,1,1,1,-0.005598,-0.009843
2007-12-31,GC=F,bullish,5,normal,2,1,1,1,0,0.026470,0.009780
2008-01-02,GC=F,bullish,6,normal,2,1,1,1,1,0.010969,0.003940
2008-01-03,GC=F,bullish,6,normal,2,1,1,1,1,-0.003809,0.001973
2008-01-04,GC=F,bullish,5,normal,2,1,1,1,0,-0.004055,-0.001510
2008-01-07,GC=F,bullish,4,normal,2,1,1,1,-1,0.021405,0.019034
2008-01-08,GC=F,bullish,6,normal,2,1,1,1,1,0.001708,-0.006215
2008-01-09,GC=F,bullish,6,normal,2,1,1,1,1,0.013872,0.010998
2008-01-10,GC=F,bullish,6,normal,2,1,1,1,1,0.004934,0.007080
2008-01-11,GC=F,bullish,6,normal,2,1,1,1,1,0.006138,-0.006282
2008-01-14,GC=F,bullish,6,normal,2,1,1,1,1,-0.000665,0.015097
2008-01-15,GC=F,bullish,4,normal,2,1,1,1,-1,-0.022642,0.000114
2008-01-16,GC=F,bullish,4,normal,2,1,1,1,-1,-0.001249,-0.009795
2008-01-17,GC=F,bullish,4,normal,2,1,1,1,-1,0.001478,0.010323
2008-01-18,GC=F,bullish,5,normal,2,1,1,1,0,0.009991,0.012405
2008-01-22,GC=F,bullish,4,normal,2,1,1,-1,1,-0.007981,-0.002825
2008-01-23,GC=F,bullish,3,normal,2,1,1,-1,0,0.026062,0.016388
2008-01-24,GC=F,bullish,4,normal,2,1,1,-1,1,0.005522,0.000000
2008-01-25,GC=F,bullish,6,normal,2,1,1,1,1,0.018232,0.011455
2008-01-28,GC=F,bullish,6,normal,2,1,1,1,1,-0.002157,0.000108
2008-01-29,GC=F,bullish,6,normal,2,1,1,1,1,-0.004864,-0.004111
2008-01-30,GC=F,bullish,4,normal,2,1,1,1,-1,0.002281,-0.005925
2008-01-31,GC=F,bullish,5,normal,2,1,1,1,0,-0.015173,-0.017409
2008-02-01,GC=F,neutral,2,normal,2,1,1,-1,-1,-0.004182,0.001328
2008-02-04,GC=F,bullish,3,normal,2,1,1,-1,0,-0.020997,-0.021213
2008-02-05,GC=F,neutral,-1,normal,0,1,0,-1,-1,0.016706,0.014416
2008-02-06,GC=F,bullish,3,expanded,2,1,1,-1,0,0.005995,0.006107
2008-02-07,GC=F,bullish,3,normal,2,1,1,-1,0,0.013575,0.003387
2008-02-08,GC=F,bullish,4,normal,2,1,1,-1,1,0.004900,0.002389
2008-02-11,GC=F,bullish,4,normal,2,1,1,-1,1,-0.016795,-0.014767
2008-02-12,GC=F,neutral,2,normal,2,1,1,-1,-1,-0.000992,0.003876
2008-02-13,GC=F,bullish,3,normal,2,1,1,-1,0,0.000993,0.003761
2008-02-14,GC=F,bullish,3,normal,2,1,1,-1,0,-0.005069,-0.008021
2008-02-15,GC=F,neutral,1,normal,2,1,0,-1,-1,0.026362,0.024660
2008-02-19,GC=F,bullish,4,normal,2,1,1,-1,1,0.008634,0.008743
2008-02-20,GC=F,bullish,4,normal,2,1,1,-1,1,0.012305,0.006382
2008-02-21,GC=F,bullish,6,normal,2,1,1,1,1,-0.001480,-0.000212
2008-02-22,GC=F,bullish,5,normal,2,1,1,1,0,-0.007516,-0.009403
2008-02-25,GC=F,bullish,4,normal,2,1,1,1,-1,0.009066,0.015892
2008-02-26,GC=F,bullish,5,normal,2,1,1,1,0,0.012789,-0.001875
2008-02-27,GC=F,bullish,6,normal,2,1,1,1,1,0.006575,0.007416
2008-02-28,GC=F,bullish,6,normal,2,1,1,1,1,0.007880,0.000721
2008-02-29,GC=F,bullish,5,normal,2,1,1,1,0,0.009670,-0.002743
2008-03-03,GC=F,bullish,6,normal,2,1,1,1,1,-0.017932,-0.018831
2008-03-04,GC=F,bullish,4,normal,2,1,1,1,-1,0.023135,0.021969
2008-03-05,GC=F,bullish,6,normal,2,1,1,1,1,-0.011357,-0.009448
2008-03-06,GC=F,bullish,5,normal,2,1,1,1,0,-0.002872,-0.010785
2008-03-07,GC=F,bullish,4,normal,2,1,1,1,-1,-0.002366,-0.005741
