date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2007-11-27,GLD,neutral,2,expanded,2,1,1,-1,-1,-0.006617,0.001889
2007-11-28,GLD,neutral,1,expanded,2,1,0,-1,-1,-0.016212,-0.012614
2007-11-29,GLD,neutral,-1,expanded,0,1,0,-1,-1,-0.012264,-0.013146
2007-11-30,GLD,neutral,-1,normal,0,1,0,-1,-1,0.012416,0.011500
2007-12-03,GLD,neutral,0,normal,0,1,0,-1,0,0.014308,0.009793
2007-12-04,GLD,bullish,3,normal,2,1,0,-1,1,-0.009698,-0.007823
2007-12-05,GLD,neutral,0,normal,0,1,0,-1,0,0.009411,0.018609
2007-12-06,GLD,bullish,3,normal,2,1,0,-1,1,-0.009701,-0.005189
2007-12-07,GLD,neutral,0,normal,0,1,0,-1,0,0.017812,0.010739
2007-12-10,GLD,bullish,4,normal,2,1,1,-1,1,-0.014500,-0.011411
2007-12-11,GLD,neutral,-1,normal,0,1,0,-1,-1,0.020928,0.005496
2007-12-12,GLD,bullish,4,normal,2,1,1,-1,1,-0.024724,-0.013695
2007-12-13,GLD,neutral,-1,normal,0,1,0,-1,-1,0.000255,0.001403
2007-12-14,GLD,neutral,0,normal,0,1,0,-1,0,-0.004967,0.000000
2007-12-17,GLD,neutral,0,normal,0,1,0,-1,0,0.014335,-0.004272
2007-12-18,GLD,bullish,3,normal,2,1,0,-1,1,-0.000126,0.000126
2007-12-19,GLD,neutral,2,normal,2,1,0,-1,0,-0.007193,-0.003042
2007-12-20,GLD,neutral,-1,normal,0,1,0,-1,-1,0.018177,-0.000749
2007-12-21,GLD,bullish,4,normal,2,1,1,-1,1,0.000499,-0.000873
2007-12-24,GLD,bullish,5,normal,2,1,1,1,0,0.017220,0.005675
2007-12-26,GLD,bullish,6,normal,2,1,1,1,1,0.000491,-0.003908
2007-12-27,GLD,bullish,5,normal,2,1,1,1,0,0.017656,0.007526
2007-12-28,GLD,bullish,6,normal,2,1,1,1,1,-0.006506,-0.003384
2007-12-31,GLD,bullish,5,normal,2,1,1,1,0,0.029105,0.015558
2008-01-02,GLD,bullish,6,normal,2,1,1,1,1,0.008367,0.008248
2008-01-03,GLD,bullish,6,normal,2,1,1,1,1,-0.005142,-0.002461
2008-01-04,GLD,bullish,5,normal,2,1,1,1,0,-0.004229,-0.005514
2008-01-07,GLD,bullish,5,normal,2,1,1,1,0,0.023711,0.005795
2008-01-08,GLD,bullish,6,normal,2,1,1,1,1,-0.002650,-0.000115
2008-01-09,GLD,bullish,5,normal,2,1,1,1,0,0.019642,0.021176
2008-01-10,GLD,bullish,6,normal,2,1,1,1,1,0.003739,0.006134
2008-01-11,GLD,bullish,6,normal,2,1,1,1,1,0.010838,0.001006
2008-01-14,GLD,bullish,6,normal,2,1,1,1,1,-0.017311,-0.017969
2008-01-15,GLD,bullish,4,normal,2,1,1,1,-1,-0.014661,-0.016672
2008-01-16,GLD,bullish,4,normal,2,1,1,1,-1,-0.002307,-0.011429
2008-01-17,GLD,bullish,5,normal,2,1,1,1,0,0.010636,0.002868
2008-01-18,GLD,bullish,5,normal,2,1,1,1,0,0.008579,0.023566
2008-01-22,GLD,bullish,6,normal,2,1,1,1,1,-0.003176,0.008375
2008-01-23,GLD,bullish,3,normal,2,1,1,-1,0,0.024918,0.004012
2008-01-24,GLD,bullish,6,normal,2,1,1,1,1,0.002442,-0.006928
2008-01-25,GLD,bullish,6,normal,2,1,1,1,1,0.016058,0.008685
2008-01-28,GLD,bullish,6,normal,2,1,1,1,1,-0.006539,-0.002299
2008-01-29,GLD,bullish,5,normal,2,1,1,1,0,0.009983,0.014883
2008-01-30,GLD,bullish,6,normal,2,1,1,1,1,-0.007169,0.005279
2008-01-31,GLD,bullish,5,normal,2,1,1,1,0,-0.022429,-0.026158
2008-02-01,GLD,neutral,2,normal,2,1,1,-1,-1,-0.002798,0.006666
2008-02-04,GLD,neutral,2,normal,2,1,1,-1,-1,-0.015937,-0.002503
2008-02-05,GLD,neutral,-1,normal,0,1,0,-1,-1,0.014484,-0.000562
2008-02-06,GLD,bullish,4,normal,2,1,1,-1,1,0.010118,0.010118
2008-02-07,GLD,bullish,4,normal,2,1,1,-1,1,0.012799,0.011111
2008-02-08,GLD,bullish,4,normal,2,1,1,-1,1,0.003626,0.003185
2008-02-11,GLD,bullish,4,normal,2,1,1,-1,1,-0.021899,-0.016514
2008-02-12,GLD,neutral,1,normal,2,1,0,-1,-1,0.001231,0.006301
2008-02-13,GLD,neutral,2,normal,2,1,0,-1,0,0.003019,0.003804
2008-02-14,GLD,bullish,3,normal,2,1,1,-1,0,-0.006242,-0.012735
2008-02-15,GLD,neutral,1,normal,2,1,0,-1,-1,0.027257,0.003836
2008-02-19,GLD,bullish,4,normal,2,1,1,-1,1,0.018126,0.026420
2008-02-20,GLD,bullish,4,normal,2,1,1,-1,1,0.000107,-0.002033
2008-02-21,GLD,bullish,5,normal,2,1,1,1,0,0.001501,-0.001817
2008-02-22,GLD,bullish,5,normal,2,1,1,1,0,-0.006960,-0.010351
2008-02-25,GLD,bullish,5,normal,2,1,1,1,0,0.010459,0.013848
2008-02-26,GLD,bullish,5,normal,2,1,1,1,0,0.011418,0.002327
