date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2007-11-27,^NDX,bearish,-3,expanded,-2,1,-1,-1,0,0.030303,0.019273
2007-11-28,^NDX,neutral,2,expanded,1,1,0,-1,1,0.003355,0.008563
2007-11-29,^NDX,bullish,4,expanded,1,1,0,1,1,-0.006335,-0.015801
2007-11-30,^NDX,bullish,3,expanded,1,1,0,1,0,-0.010363,-0.006082
2007-12-03,^NDX,neutral,-1,expanded,-2,1,0,1,-1,-0.004058,0.002869
2007-12-04,^NDX,neutral,-1,normal,-2,1,0,1,-1,0.019548,0.007738
2007-12-05,^NDX,bullish,4,normal,1,1,0,1,1,0.013500,0.013311
2007-12-06,^NDX,bullish,5,normal,1,1,1,1,1,0.001105,0.001156
2007-12-07,^NDX,bullish,5,normal,1,1,1,1,1,0.002291,0.001506
2007-12-10,^NDX,bullish,5,normal,2,1,1,1,0,-0.023964,-0.025306
2007-12-11,^NDX,neutral,0,normal,-1,1,0,1,-1,0.008466,-0.011190
2007-12-12,^NDX,bullish,4,normal,2,1,0,1,0,-0.003179,0.005569
2007-12-13,^NDX,bullish,4,normal,2,1,0,1,0,-0.010775,-0.003026
2007-12-14,^NDX,neutral,0,normal,-1,1,0,1,-1,-0.024762,-0.021144
2007-12-17,^NDX,bearish,-4,normal,-2,1,-1,-1,-1,0.004300,-0.005961
2007-12-18,^NDX,bearish,-3,normal,-2,1,-1,-1,0,0.000744,0.001529
2007-12-19,^NDX,bearish,-3,normal,-2,1,-1,-1,0,0.019045,0.006595
2007-12-20,^NDX,neutral,-1,normal,-2,1,0,-1,1,0.020337,0.005265
2007-12-21,^NDX,bullish,4,normal,1,1,0,1,1,0.007979,0.007335
2007-12-24,^NDX,bullish,5,normal,1,1,1,1,1,0.003909,0.007321
2007-12-26,^NDX,bullish,6,normal,2,1,1,1,1,-0.014436,-0.010766
2007-12-27,^NDX,bullish,3,normal,2,1,0,1,-1,0.000456,-0.005466
2007-12-28,^NDX,bullish,4,normal,2,1,0,1,0,-0.010498,-0.006187
2007-12-31,^NDX,neutral,0,normal,-1,1,0,1,-1,-0.016893,-0.017176
2008-01-02,^NDX,neutral,-1,normal,-1,1,-1,1,-1,0.001000,0.000546
2008-01-03,^NDX,bearish,-3,normal,-2,1,-1,-1,0,-0.043007,-0.030533
2008-01-04,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.003097,-0.007021
2008-01-07,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.024067,-0.028030
2008-01-08,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.020347,0.017737
2008-01-09,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.002278,0.011772
2008-01-10,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.020899,-0.014513
2008-01-11,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.018998,0.004546
2008-01-14,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.028248,-0.016542
2008-01-15,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.011509,-0.002217
2008-01-16,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.016125,-0.021388
2008-01-17,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.001080,-0.009736
2008-01-18,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.026289,0.031646
2008-01-22,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.003386,0.037132
2008-01-23,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.020894,0.014482
2008-01-24,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.020663,-0.038556
2008-01-25,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.008892,0.009473
2008-01-28,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.001435,-0.002626
2008-01-29,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,0.000465,0.004527
2008-01-30,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.018197,0.033153
2008-01-31,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.007521,0.004984
2008-02-01,^NDX,neutral,-2,normal,-2,-1,-1,1,1,-0.014267,-0.013922
2008-02-04,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.030244,-0.013988
2008-02-05,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.018348,-0.025748
2008-02-06,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.007094,0.017462
2008-02-07,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.011658,0.011041
2008-02-08,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.010909,0.007150
2008-02-11,^NDX,neutral,-2,normal,-2,-1,-1,1,1,-0.006999,-0.012265
2008-02-12,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.023847,0.010930
2008-02-13,^NDX,neutral,-1,normal,-2,-1,0,1,1,-0.019424,-0.019478
2008-02-14,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.004033,0.002410
2008-02-15,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.008745,-0.020731
2008-02-19,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.012829,0.017539
2008-02-20,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.011832,-0.019822
2008-02-21,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.004042,0.000316
2008-02-22,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.006778,0.006999
2008-02-25,^NDX,neutral,-2,normal,-2,-1,-1,1,1,0.003277,0.010042
2008-02-26,^NDX,neutral,-2,normal,-2,-1,-1,1,1,0.004818,0.011987
2008-02-27,^NDX,neutral,-2,normal,-2,-1,0,1,0,-0.003045,0.000195
2008-02-28,^NDX,neutral,-2,normal,-2,-1,0,1,0,-0.027412,-0.017308
2008-02-29,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.006876,-0.006107
2008-03-03,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.006017,0.011233
2008-03-04,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.005660,0.004106
2008-03-05,^NDX,neutral,-2,normal,-2,-1,-1,1,1,-0.023421,-0.021104
2008-03-06,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.002920,0.003621
2008-03-07,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.020187,-0.019067
2008-03-10,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.040597,0.021654
2008-03-11,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.003314,-0.006305
2008-03-12,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.008771,0.020142
2008-03-13,^NDX,neutral,-2,normal,-2,-1,0,1,0,-0.020892,-0.024831
2008-03-14,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.015544,0.003957
2008-03-17,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.043777,0.025631
2008-03-18,^NDX,neutral,1,normal,0,-1,0,1,1,-0.025814,-0.028049
2008-03-19,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.021217,0.018777
2008-03-20,^NDX,neutral,0,normal,0,-1,0,1,0,0.035622,0.030827
2008-03-24,^NDX,bullish,3,normal,1,-1,1,1,1,0.005589,0.004520
2008-03-25,^NDX,bullish,3,normal,1,-1,1,1,1,-0.003979,0.000799
2008-03-26,^NDX,neutral,2,normal,1,-1,1,1,0,-0.021675,-0.016186
2008-03-27,^NDX,neutral,-1,normal,0,-1,0,1,-1,-0.005805,-0.011736
2008-03-28,^NDX,neutral,-1,normal,0,-1,0,1,-1,0.008124,0.005059
2008-03-31,^NDX,neutral,0,normal,0,-1,0,1,0,0.041275,0.027312
2008-04-01,^NDX,bullish,3,normal,1,-1,1,1,1,-0.003600,-0.003831
2008-04-02,^NDX,neutral,2,normal,1,-1,1,1,0,0.003456,0.006784
2008-04-03,^NDX,neutral,2,normal,1,-1,1,1,0,0.005757,0.003194
2008-04-04,^NDX,neutral,2,normal,1,-1,1,1,0,-0.002701,-0.009301
2008-04-07,^NDX,neutral,2,normal,1,-1,1,1,0,-0.007894,-0.003901
2008-04-08,^NDX,neutral,1,normal,1,-1,1,1,-1,-0.010806,-0.011994
2008-04-09,^NDX,neutral,0,normal,1,-1,0,1,-1,0.014664,0.014215
2008-04-10,^NDX,bullish,3,normal,1,-1,1,1,1,-0.029277,-0.018193
2008-04-11,^NDX,bearish,-3,normal,-2,-1,0,1,-1,-0.004331,-0.003250
2008-04-14,^NDX,bearish,-5,normal,-2,-1,0,-1,-1,0.002122,-0.002640
2008-04-15,^NDX,bearish,-4,normal,-2,-1,0,-1,0,0.029063,0.016120
2008-04-16,^NDX,neutral,1,normal,1,-1,1,-1,1,-0.003254,-0.003206
2008-04-17,^NDX,neutral,0,normal,1,-1,1,-1,0,0.032267,0.005865
2008-04-18,^NDX,bullish,6,normal,2,1,1,1,1,0.006757,0.010645
2008-04-21,^NDX,bullish,6,normal,2,1,1,1,1,-0.016450,-0.010319
2008-04-22,^NDX,neutral,2,normal,2,-1,1,1,-1,0.013292,0.004759
2008-04-23,^NDX,bullish,6,normal,2,1,1,1,1,0.009399,0.008621
2008-04-24,^NDX,bullish,6,normal,2,1,1,1,1,-0.003118,-0.002236
2008-04-25,^NDX,bullish,5,normal,2,1,1,1,0,0.002439,0.001421
2008-04-28,^NDX,bullish,5,normal,2,1,1,1,0,0.005376,0.008223
2008-04-29,^NDX,bullish,5,normal,2,1,1,1,0,-0.008223,-0.011046
2008-04-30,^NDX,bullish,5,normal,2,1,1,1,0,0.032716,0.030475
2008-05-01,^NDX,bullish,6,normal,2,1,1,1,1,0.000722,-0.007233
2008-05-02,^NDX,bullish,6,normal,2,1,1,1,1,-0.003053,-0.002534
2008-05-05,^NDX,bullish,5,normal,2,1,1,1,0,0.007486,0.011175
2008-05-06,^NDX,bullish,5,normal,2,1,1,1,0,-0.019687,-0.018124
2008-05-07,^NDX,bullish,4,normal,2,1,1,1,-1,0.007912,0.003137
2008-05-08,^NDX,bullish,5,normal,2,1,1,1,0,-0.003340,0.004952
2008-05-09,^NDX,bullish,5,normal,2,1,1,1,0,0.018737,0.013973
2008-05-12,^NDX,bullish,6,normal,2,1,1,1,1,0.001798,0.001497
2008-05-13,^NDX,bullish,6,normal,2,1,1,1,1,-0.001654,-0.005596
2008-05-14,^NDX,bullish,5,normal,2,1,1,1,0,0.017043,0.018006
2008-05-15,^NDX,bullish,6,normal,2,1,1,1,1,-0.000034,-0.001318
2008-05-16,^NDX,bullish,5,normal,2,1,1,1,0,-0.007222,-0.007491
2008-05-19,^NDX,bullish,5,normal,2,1,1,1,0,-0.007899,-0.003898
2008-05-20,^NDX,neutral,2,normal,2,1,1,-1,-1,-0.021928,-0.024181
2008-05-21,^NDX,neutral,-1,normal,0,1,0,-1,-1,0.004150,0.001203
2008-05-22,^NDX,neutral,0,normal,0,1,0,-1,0,-0.003033,-0.000362
2008-05-23,^NDX,neutral,0,normal,0,1,0,-1,0,0.018622,0.015491
2008-05-27,^NDX,bullish,4,normal,2,1,1,-1,1,0.002320,-0.001348
2008-05-28,^NDX,bullish,4,normal,2,1,1,-1,1,0.009475,0.008602
2008-05-29,^NDX,bullish,4,normal,2,1,1,-1,1,0.006711,0.002130
2008-05-30,^NDX,bullish,4,normal,2,1,1,-1,1,-0.012659,-0.009741
2008-06-02,^NDX,neutral,2,normal,2,1,1,-1,-1,-0.005008,-0.009052
2008-06-03,^NDX,bullish,3,normal,2,1,1,-1,0,0.012350,0.014840
2008-06-04,^NDX,bullish,3,normal,2,1,1,-1,0,0.016651,0.013783
2008-06-05,^NDX,bullish,4,normal,2,1,1,-1,1,-0.031492,-0.022474
2008-06-06,^NDX,neutral,-1,normal,0,1,0,-1,-1,-0.005366,-0.007848
2008-06-09,^NDX,neutral,-1,normal,0,1,0,-1,-1,-0.003622,0.006187
2008-06-10,^NDX,neutral,0,normal,0,1,0,-1,0,-0.024441,-0.022622
2008-06-11,^NDX,bearish,-3,normal,-1,1,-1,-1,-1,-0.000036,-0.008972
2008-06-12,^NDX,bearish,-3,normal,-1,1,-1,-1,-1,0.021697,0.014275
2008-06-13,^NDX,neutral,1,normal,0,1,0,-1,1,0.009537,0.015721
2008-06-16,^NDX,bullish,3,normal,2,1,0,-1,1,-0.006016,-0.008643
2008-06-17,^NDX,neutral,0,normal,0,1,0,-1,0,-0.011010,-0.005951
2008-06-18,^NDX,neutral,-1,normal,0,1,0,-1,-1,0.016191,0.017996
2008-06-19,^NDX,bullish,3,normal,2,1,0,-1,1,-0.027387,-0.017296
2008-06-20,^NDX,bearish,-3,normal,-1,1,-1,-1,-1,-0.007820,-0.012082
2008-06-23,^NDX,bearish,-5,normal,-1,-1,-1,-1,-1,-0.005002,-0.001626
2008-06-24,^NDX,bearish,-5,normal,-1,-1,-1,-1,-1,0.015821,0.011925
2008-06-25,^NDX,neutral,0,normal,-1,1,0,-1,1,-0.040577,-0.022852
2008-06-26,^NDX,bearish,-5,normal,-1,-1,-1,-1,-1,0.000178,0.000717
2008-06-27,^NDX,bearish,-4,normal,-1,-1,-1,-1,0,-0.010039,-0.008495
2008-06-30,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.013946,0.022383
2008-07-01,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.024996,-0.028173
2008-07-02,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.000110,-0.006781
2008-07-03,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.005825,-0.004007
2008-07-07,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.024276,0.022809
2008-07-08,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.027842,-0.025514
2008-07-09,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.011208,0.007084
2008-07-10,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.015596,-0.005137
2008-07-11,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.007096,-0.020072
2008-07-14,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.000178,0.006408
2008-07-15,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.025312,0.024600
2008-07-16,^NDX,bearish,-3,normal,-2,-1,0,-1,1,0.005206,0.001334
2008-07-17,^NDX,neutral,-1,normal,-2,-1,0,1,1,-0.016315,-0.002249
2008-07-18,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.001903,-0.006605
2008-07-21,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.001022,0.019088
2008-07-22,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.013142,0.012170
2008-07-23,^NDX,neutral,-1,normal,-2,-1,0,1,1,-0.015486,-0.020480
2008-07-24,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.016274,0.009082
2008-07-25,^NDX,neutral,0,normal,0,-1,0,1,0,-0.023590,-0.020817
2008-07-28,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.023605,0.017785
2008-07-29,^NDX,neutral,0,normal,0,-1,0,1,0,0.003928,0.001357
2008-07-30,^NDX,neutral,1,normal,0,-1,0,1,1,-0.001970,0.007519
2008-07-31,^NDX,neutral,0,normal,0,-1,0,1,0,-0.012216,-0.011318
2008-08-01,^NDX,bearish,-3,normal,-2,-1,0,1,-1,-0.011891,-0.011415
2008-08-04,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.035970,0.024038
2008-08-05,^NDX,neutral,1,normal,0,-1,0,1,1,0.013611,0.015186
2008-08-06,^NDX,bullish,3,normal,1,-1,1,1,1,-0.007978,-0.001530
2008-08-07,^NDX,neutral,1,normal,1,-1,0,1,0,0.024541,0.024367
2008-08-08,^NDX,bullish,5,normal,1,1,1,1,1,0.007787,0.010131
2008-08-11,^NDX,bullish,5,normal,1,1,1,1,1,-0.000082,0.001073
2008-08-12,^NDX,bullish,4,normal,1,1,1,1,0,0.000489,0.002043
2008-08-13,^NDX,bullish,4,normal,1,1,1,1,0,0.011514,0.017386
2008-08-14,^NDX,bullish,6,normal,2,1,1,1,1,-0.003472,-0.005047
2008-08-15,^NDX,bullish,5,normal,2,1,1,1,0,-0.012700,-0.015019
2008-08-18,^NDX,bullish,4,normal,2,1,1,1,-1,-0.012428,-0.008277
2008-08-19,^NDX,neutral,1,normal,2,-1,0,1,-1,0.002274,-0.004543
2008-08-20,^NDX,neutral,2,normal,2,-1,0,1,0,-0.003283,0.003489
2008-08-21,^NDX,neutral,2,normal,2,-1,0,1,0,0.012970,0.008195
2008-08-22,^NDX,bullish,6,normal,2,1,1,1,1,-0.021616,-0.014976
2008-08-25,^NDX,bearish,-4,normal,-1,-1,0,-1,-1,-0.001799,-0.001878
2008-08-26,^NDX,bearish,-3,normal,-1,-1,0,-1,0,0.007411,0.007006
2008-08-27,^NDX,neutral,-2,normal,0,-1,0,-1,0,0.007799,0.004737
2008-08-28,^NDX,neutral,1,normal,2,-1,0,-1,1,-0.022234,-0.012259
2008-08-29,^NDX,bearish,-4,normal,-1,-1,0,-1,-1,-0.011962,-0.028395
2008-09-02,^NDX,bearish,-5,normal,-1,-1,-1,-1,-1,-0.009216,-0.007821
2008-09-03,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.031810,-0.024584
2008-09-04,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.003691,0.005522
2008-09-05,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.002986,-0.017352
2008-09-08,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.023483,-0.024634
2008-09-09,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.009596,-0.000937
2008-09-10,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.020471,0.034343
2008-09-11,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.003676,0.006258
2008-09-12,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.034898,-0.009479
2008-09-15,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.010918,0.022143
2008-09-16,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.053147,-0.040751
2008-09-17,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.039799,0.017437
2008-09-18,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.028066,-0.008658
2008-09-19,^NDX,bearish,-4,expanded,-2,-1,-1,-1,1,-0.045339,-0.043948
2008-09-22,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.010529,-0.018190
2008-09-23,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.007844,0.002250
2008-09-24,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.015783,0.007222
2008-09-25,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.009191,0.017892
2008-09-26,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.105195,-0.086811
2008-09-29,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.065822,0.035131
2008-09-30,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.019334,-0.010917
2008-10-01,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.046483,-0.036209
2008-10-02,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.013594,-0.029821
2008-10-03,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.040494,-0.013787
2008-10-06,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.057607,-0.060934
2008-10-07,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.000474,0.024626
2008-10-08,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.041718,-0.055167
2008-10-09,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.004156,0.028261
2008-10-10,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,0.125799,0.067937
2008-10-13,^NDX,bearish,-4,expanded,-2,-1,-1,-1,1,-0.045434,-0.072244
2008-10-14,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.088202,-0.079289
2008-10-15,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.055247,0.045184
2008-10-16,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.000952,0.015593
2008-10-17,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,0.031287,0.017358
2008-10-20,^NDX,bearish,-3,expanded,-2,-1,-1,1,0,-0.051251,-0.034783
2008-10-21,^NDX,bearish,-4,expanded,-2,-1,-1,1,-1,-0.036106,-0.028110
2008-10-22,^NDX,bearish,-4,expanded,-2,-1,-1,1,-1,0.001673,-0.000822
2008-10-23,^NDX,bearish,-3,expanded,-2,-1,-1,1,0,-0.029770,0.046253
2008-10-24,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.027024,-0.010857
2008-10-27,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,0.109243,0.072345
2008-10-28,^NDX,neutral,-2,expanded,-2,-1,-1,1,1,0.003507,0.007607
2008-10-29,^NDX,neutral,-2,expanded,-2,-1,-1,1,1,0.024437,0.000502
2008-10-30,^NDX,neutral,-2,expanded,-2,-1,0,1,0,0.000630,0.012432
2008-10-31,^NDX,neutral,-2,expanded,-2,-1,0,1,0,-0.000022,0.001170
2008-11-03,^NDX,neutral,-2,normal,-2,-1,0,1,0,0.032703,0.011076
2008-11-04,^NDX,neutral,1,normal,0,-1,0,1,1,-0.056892,-0.044006
2008-11-05,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.044624,-0.028231
2008-11-06,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.023873,0.010481
2008-11-07,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.016216,-0.036187
2008-11-10,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.020312,-0.008783
2008-11-11,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,-0.049127,-0.032205
2008-11-12,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.064829,0.062595
2008-11-13,^NDX,neutral,-2,normal,-2,-1,-1,1,1,-0.049398,-0.024777
