date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2007-11-27,QQQ,bearish,-3,expanded,-2,1,-1,-1,0,0.030424,0.016788
2007-11-28,QQQ,neutral,2,expanded,1,1,0,-1,1,0.004274,0.008190
2007-11-29,QQQ,bullish,3,expanded,1,1,0,1,0,-0.007544,-0.017238
2007-11-30,QQQ,bullish,3,expanded,1,1,0,1,0,-0.008380,-0.004110
2007-12-03,QQQ,neutral,-1,expanded,-2,1,0,1,-1,-0.004127,0.003565
2007-12-04,QQQ,neutral,-1,normal,-2,1,0,1,-1,0.017959,0.007422
2007-12-05,QQQ,bullish,4,normal,1,1,0,1,1,0.014347,0.013364
2007-12-06,QQQ,bullish,5,normal,1,1,1,1,1,0.000191,0.000765
2007-12-07,QQQ,bullish,4,normal,1,1,1,1,0,0.004013,0.001525
2007-12-10,QQQ,bullish,5,normal,2,1,1,1,0,-0.023220,-0.024705
2007-12-11,QQQ,neutral,0,normal,-1,1,0,1,-1,0.008963,-0.008995
2007-12-12,QQQ,bullish,4,normal,2,1,0,1,0,-0.005407,0.003312
2007-12-13,QQQ,bullish,4,normal,2,1,0,1,0,-0.010291,-0.002349
2007-12-14,QQQ,neutral,0,normal,-1,1,0,1,-1,-0.024328,-0.020677
2007-12-17,QQQ,bearish,-4,normal,-2,1,-1,-1,-1,0.003217,-0.006967
2007-12-18,QQQ,bearish,-3,normal,-2,1,-1,-1,0,-0.000200,-0.000200
2007-12-19,QQQ,bearish,-3,normal,-2,1,-1,-1,0,0.020449,0.005531
2007-12-20,QQQ,neutral,-1,normal,-2,1,0,-1,1,0.018664,0.003289
2007-12-21,QQQ,bullish,4,normal,1,1,0,1,1,0.007522,0.004422
2007-12-24,QQQ,bullish,5,normal,1,1,1,1,1,0.004977,0.007098
2007-12-26,QQQ,bullish,6,normal,2,1,1,1,1,-0.012000,-0.008790
2007-12-27,QQQ,bullish,3,normal,2,1,0,1,-1,-0.000964,-0.004228
2007-12-28,QQQ,bullish,4,normal,2,1,0,1,0,-0.011579,-0.006787
2007-12-31,QQQ,neutral,0,normal,-1,1,0,1,-1,-0.015814,-0.016774
2008-01-02,QQQ,neutral,-1,normal,-1,1,-1,1,-1,0.004166,0.004166
2008-01-03,QQQ,neutral,-2,normal,-2,1,0,-1,0,-0.043856,-0.028308
2008-01-04,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.004752,-0.004752
2008-01-07,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.025950,-0.027968
2008-01-08,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.021313,0.017194
2008-01-09,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.001461,0.011807
2008-01-10,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.019587,-0.014247
2008-01-11,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.017428,0.003774
2008-01-14,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.027575,-0.017311
2008-01-15,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.010741,-0.003031
2008-01-16,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.013898,-0.017950
2008-01-17,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.001321,-0.006354
2008-01-18,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.025799,0.031520
2008-01-22,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.003848,0.034556
2008-01-23,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.020450,0.016293
2008-01-24,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.020485,-0.040985
2008-01-25,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.007729,0.007042
2008-01-28,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.001805,-0.003366
2008-01-29,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.000901,0.002712
2008-01-30,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.017129,0.028721
2008-01-31,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.010193,0.001978
2008-02-01,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.014038,-0.013822
2008-02-04,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.028476,-0.011320
2008-02-05,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.019693,-0.025273
2008-02-06,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,0.007008,0.018427
2008-02-07,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.011366,0.009259
2008-02-08,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.010780,0.006854
2008-02-11,QQQ,neutral,-2,normal,-2,-1,-1,1,1,-0.005673,-0.011728
2008-02-12,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.021908,0.008786
2008-02-13,QQQ,neutral,-1,normal,-2,-1,0,1,1,-0.018088,-0.019621
2008-02-14,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.003411,0.002058
2008-02-15,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.001826,-0.014865
2008-02-19,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.004572,0.015719
2008-02-20,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.009558,-0.018936
2008-02-21,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.003676,0.000229
2008-02-22,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.005037,0.006188
2008-02-25,QQQ,neutral,-2,normal,-2,-1,-1,1,1,0.003872,0.009622
2008-02-26,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.004992,0.011880
2008-02-27,QQQ,neutral,-2,normal,-2,-1,0,1,0,-0.003838,0.000000
2008-02-28,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.026519,-0.016037
2008-02-29,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.006519,-0.005825
2008-03-03,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,0.005625,0.012028
2008-03-04,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.004894,0.003024
2008-03-05,QQQ,neutral,-2,normal,-2,-1,-1,1,1,-0.022032,-0.021351
2008-03-06,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.002371,0.003578
2008-03-07,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.019254,-0.017853
2008-03-10,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.038051,0.023173
2008-03-11,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.002802,-0.006744
2008-03-12,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.007727,0.019181
2008-03-13,QQQ,neutral,-2,normal,-2,-1,0,1,0,-0.018355,-0.024925
2008-03-14,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.018225,0.004602
2008-03-17,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,0.044600,0.025805
2008-03-18,QQQ,neutral,1,normal,0,-1,0,1,1,-0.024694,-0.028729
2008-03-19,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.019640,0.017473
2008-03-20,QQQ,neutral,0,normal,0,-1,0,1,0,0.034579,0.030037
2008-03-24,QQQ,bullish,3,normal,1,-1,1,1,1,0.005608,0.002908
2008-03-25,QQQ,bullish,3,normal,1,-1,1,1,1,-0.002900,0.000672
2008-03-26,QQQ,neutral,2,normal,1,-1,1,1,0,-0.022148,-0.016427
2008-03-27,QQQ,neutral,-1,normal,0,-1,0,1,-1,-0.005033,-0.012040
2008-03-28,QQQ,neutral,-1,normal,0,-1,0,1,-1,0.005289,0.001604
2008-03-31,QQQ,neutral,0,normal,0,-1,0,1,0,0.042772,0.026340
2008-04-01,QQQ,bullish,3,normal,1,-1,1,1,1,-0.002193,-0.004595
2008-04-02,QQQ,neutral,2,normal,1,-1,1,1,0,0.002198,0.006624
2008-04-03,QQQ,neutral,2,normal,1,-1,1,1,0,0.005922,0.001966
2008-04-04,QQQ,neutral,2,normal,1,-1,1,1,0,-0.002181,-0.008236
2008-04-07,QQQ,neutral,2,normal,1,-1,1,1,0,-0.007649,0.000000
2008-04-08,QQQ,neutral,1,normal,1,-1,1,1,-1,-0.011231,-0.012536
2008-04-09,QQQ,neutral,0,normal,1,-1,0,1,-1,0.014254,0.013577
2008-04-10,QQQ,bullish,3,normal,1,-1,1,1,1,-0.027668,-0.016437
2008-04-11,QQQ,bearish,-3,normal,-2,-1,0,1,-1,-0.004517,-0.002940
2008-04-14,QQQ,bearish,-5,normal,-2,-1,0,-1,-1,0.001361,-0.002260
2008-04-15,QQQ,bearish,-4,normal,-2,-1,0,-1,0,0.027866,0.015216
2008-04-16,QQQ,neutral,1,normal,1,-1,1,-1,1,-0.002204,-0.003302
2008-04-17,QQQ,neutral,0,normal,1,-1,1,-1,0,0.031809,0.005165
2008-04-18,QQQ,bullish,6,normal,2,1,1,1,1,0.007065,0.009009
2008-04-21,QQQ,bullish,6,normal,2,1,1,1,1,-0.014881,-0.008770
2008-04-22,QQQ,neutral,2,normal,2,-1,1,1,-1,0.011006,0.003642
2008-04-23,QQQ,bullish,6,normal,2,1,1,1,1,0.008965,0.008534
2008-04-24,QQQ,bullish,6,normal,2,1,1,1,1,-0.002539,-0.003593
2008-04-25,QQQ,bullish,5,normal,2,1,1,1,0,0.001909,-0.000423
2008-04-28,QQQ,bullish,5,normal,2,1,1,1,0,0.007621,0.009544
2008-04-29,QQQ,bullish,5,normal,2,1,1,1,0,-0.008193,-0.010273
2008-04-30,QQQ,bullish,5,normal,2,1,1,1,0,0.031561,0.031124
2008-05-01,QQQ,bullish,6,normal,2,1,1,1,1,0.001437,-0.007933
2008-05-02,QQQ,bullish,6,normal,2,1,1,1,1,-0.002871,-0.002871
2008-05-05,QQQ,bullish,5,normal,2,1,1,1,0,0.006169,0.009074
2008-05-06,QQQ,bullish,5,normal,2,1,1,1,0,-0.018189,-0.018390
